2025-05-28 09:12:20.346522+0000	INFO	             env/logging.go:42	=====================> Service started SCION Daemon sd4-ff00_0_410
  Scion version: 

  pid:           188710
  euid/egid:     1000 1000
  cmd line:      ["bin/daemon" "--config" "gen/ASff00_0_410/sd.toml"]

2025-05-28 09:20:43.395184+0000	DEBUG	        grpc/interceptor.go:41	Outgoing RPC	{"debug_id": "d7486855", "trace_id": "210997dea83c8bbb", "method": "/proto.control_plane.v1.SegmentLookupService/Segments", "target": "svc:///CS"}
2025-05-28 09:20:43.396664+0000	DEBUG	trust/fetching_provider.go:180	TRC notify	{"debug_id": "0cfa3607", "trace_id": "210997dea83c8bbb", "id": "ISD2-B1-S1"}
2025-05-28 09:20:43.396889+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"debug_id": "0cfa3607", "trace_id": "210997dea83c8bbb", "isd_as": "2-ff00:0:210", "validity": "not_before=2025-05-28T09:20:25Z, not_after=2025-05-28T15:20:25Z", "subject_key_id": "bdf9db123974aa5a885bd43a9d97446c5edb39e0"}
2025-05-28 09:20:43.396923+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"isd_as": "2-ff00:0:210", "validity": "not_before=2025-05-28T09:20:25Z, not_after=2025-05-28T15:20:25Z", "subject_key_id": "bdf9db123974aa5a885bd43a9d97446c5edb39e0"}
2025-05-28 09:20:43.397570+0000	DEBUG	trust/fetching_provider.go:180	TRC notify	{"debug_id": "0cfa3607", "trace_id": "210997dea83c8bbb", "id": "ISD1-B1-S1"}
2025-05-28 09:20:43.397751+0000	DEBUG	trust/fetching_provider.go:180	TRC notify	{"id": "ISD1-B1-S1"}
2025-05-28 09:20:43.397791+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"debug_id": "0cfa3607", "trace_id": "210997dea83c8bbb", "isd_as": "1-ff00:0:110", "validity": "not_before=2025-05-28T09:20:25Z, not_after=2025-05-28T15:20:25Z", "subject_key_id": "603e8d280a3f8ca36ca6d2e272e489927ecf97b3"}
2025-05-28 09:20:43.397975+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"isd_as": "1-ff00:0:110", "validity": "not_before=2025-05-28T09:20:25Z, not_after=2025-05-28T15:20:25Z", "subject_key_id": "603e8d280a3f8ca36ca6d2e272e489927ecf97b3"}
2025-05-28 09:20:43.399253+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"debug_id": "0cfa3607", "trace_id": "210997dea83c8bbb", "isd_as": "1-ff00:0:120", "validity": "not_before=2025-05-28T09:20:25Z, not_after=2025-05-28T15:20:25Z", "subject_key_id": "2cff91ba10a841f332a74edc3cc8c129de9a0366"}
2025-05-28 09:20:43.399424+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"isd_as": "1-ff00:0:120", "validity": "not_before=2025-05-28T09:20:25Z, not_after=2025-05-28T15:20:25Z", "subject_key_id": "2cff91ba10a841f332a74edc3cc8c129de9a0366"}
2025-05-28 09:20:43.399835+0000	DEBUG	trust/fetching_provider.go:180	TRC notify	{"debug_id": "0cfa3607", "trace_id": "210997dea83c8bbb", "id": "ISD3-B1-S1"}
2025-05-28 09:20:43.400005+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"debug_id": "0cfa3607", "trace_id": "210997dea83c8bbb", "isd_as": "3-ff00:0:310", "validity": "not_before=2025-05-28T09:20:25Z, not_after=2025-05-28T15:20:25Z", "subject_key_id": "929ec4e1861ad7edebe474ff36f3c9740ec28277"}
2025-05-28 09:20:43.400091+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"isd_as": "3-ff00:0:310", "validity": "not_before=2025-05-28T09:20:25Z, not_after=2025-05-28T15:20:25Z", "subject_key_id": "929ec4e1861ad7edebe474ff36f3c9740ec28277"}
2025-05-28 09:20:43.400660+0000	DEBUG	trust/fetching_provider.go:180	TRC notify	{"debug_id": "0cfa3607", "trace_id": "210997dea83c8bbb", "id": "ISD4-B1-S1"}
2025-05-28 09:20:43.400717+0000	DEBUG	trust/fetching_provider.go:180	TRC notify	{"id": "ISD4-B1-S1"}
2025-05-28 09:20:43.400822+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"debug_id": "0cfa3607", "trace_id": "210997dea83c8bbb", "isd_as": "4-ff00:0:410", "validity": "not_before=2025-05-28T09:20:25Z, not_after=2025-05-28T15:20:25Z", "subject_key_id": "bb83c36940242f874a52eaf76255f4fcbc47fc1e"}
2025-05-28 09:20:43.400866+0000	DEBUG	 trust/fetching_provider.go:85	Getting chains	{"isd_as": "4-ff00:0:410", "validity": "not_before=2025-05-28T09:20:25Z, not_after=2025-05-28T15:20:25Z", "subject_key_id": "bb83c36940242f874a52eaf76255f4fcbc47fc1e"}
2025-05-28 09:20:43.413769+0000	DEBUG	      seghandler/storage.go:49	Segments updated in DB	{"debug_id": "0cfa3607", "trace_id": "210997dea83c8bbb", "segments": ["2c6902caf543c2401a08f4a9"]}
